2022-04-25 14:04:30.694  INFO [,,] 16232 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_141 on LTIN310484 with PID 16232 (C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\Pension-Management-portal\target\classes started by 894566 in C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\Pension-Management-portal)
2022-04-25 14:04:30.714  INFO [,,] 16232 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-04-25 14:04:30.799  INFO [,,] 16232 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-25 14:04:30.800  INFO [,,] 16232 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-25 14:04:32.447  INFO [,,] 16232 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-25 14:04:32.475  INFO [,,] 16232 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 14 ms. Found 0 JPA repository interfaces.
2022-04-25 14:04:33.014  INFO [,,] 16232 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=b6efebc2-bb64-3a73-b714-eba9624e96b9
2022-04-25 14:04:35.252  INFO [,,] 16232 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-04-25 14:04:35.271  INFO [,,] 16232 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-04-25 14:04:35.272  INFO [,,] 16232 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-04-25 14:04:35.529  INFO [,,] 16232 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-04-25 14:04:35.530  INFO [,,] 16232 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4729 ms
2022-04-25 14:04:35.661  INFO [,,] 16232 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-04-25 14:04:36.009  INFO [,,] 16232 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-04-25 14:04:36.022  INFO [,,] 16232 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:da9fbd28-a700-4574-a434-df7fb2231e43'
2022-04-25 14:04:37.243  INFO [,,] 16232 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-04-25 14:04:37.346  INFO [,,] 16232 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-04-25 14:04:37.577  INFO [,,] 16232 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-04-25 14:04:37.798  INFO [,,] 16232 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-04-25 14:04:38.139  INFO [,,] 16232 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-04-25 14:04:38.153  INFO [,,] 16232 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-04-25 14:04:38.222  WARN [,,] 16232 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-04-25 14:04:38.504  WARN [,,] 16232 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-04-25 14:04:41.878  INFO [,,] 16232 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-04-25 14:04:42.629  INFO [,,] 16232 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-04-25 14:04:42.661  INFO [,,] 16232 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-04-25 14:04:42.682  INFO [,,] 16232 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-04-25 14:04:43.125  INFO [,,] 16232 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 13.581 seconds (JVM running for 14.32)
2022-04-25 14:06:08.443  INFO [,,] 16232 --- [http-nio-9085-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-25 14:06:08.444  INFO [,,] 16232 --- [http-nio-9085-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-04-25 14:06:08.446  INFO [,,] 16232 --- [http-nio-9085-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-04-25 14:06:08.711  INFO [,2627daf38a761db6,2627daf38a761db6] 16232 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : STARTED - doLogin
2022-04-25 14:06:09.924  INFO [,2627daf38a761db6,2627daf38a761db6] 16232 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : END - doLogin
2022-04-25 14:06:10.288  INFO [,8df579d4bd7aeec9,8df579d4bd7aeec9] 16232 --- [http-nio-9085-exec-4] c.c.controller.PensionController         : STARTED - allDetail
2022-04-25 14:06:11.082  INFO [,8df579d4bd7aeec9,8df579d4bd7aeec9] 16232 --- [http-nio-9085-exec-4] c.c.controller.PensionController         : END - allDetail
2022-04-25 14:06:24.384  INFO [,f522a75a64fe9a1f,f522a75a64fe9a1f] 16232 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : STARTED - allDetail
2022-04-25 14:06:24.407  INFO [,f522a75a64fe9a1f,f522a75a64fe9a1f] 16232 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : END - allDetail
2022-04-25 14:06:46.276  INFO [,8fadf324f07bc3dd,8fadf324f07bc3dd] 16232 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : STARTED - doLogin
2022-04-25 14:06:46.288  INFO [,8fadf324f07bc3dd,8fadf324f07bc3dd] 16232 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : END - doLogin
2022-04-25 14:06:46.747  INFO [,f0c452b233e089a9,f0c452b233e089a9] 16232 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : STARTED - allDetail
2022-04-25 14:06:46.769  INFO [,f0c452b233e089a9,f0c452b233e089a9] 16232 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : END - allDetail
2022-05-19 17:55:34.389  INFO [,,] 14644 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 15.0.2 on sam with PID 14644 (C:\Users\sumit sahane\Downloads\5_6068926584683758823\Pension-Management-portal\target\classes started by sumit sahane in C:\Users\sumit sahane\Downloads\5_6068926584683758823\Pension-Management-portal)
2022-05-19 17:55:34.412  INFO [,,] 14644 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-05-19 17:55:35.091  INFO [,,] 14644 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 17:55:35.162  INFO [,,] 14644 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 17:55:41.143  INFO [,,] 14644 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 17:55:41.186  INFO [,,] 14644 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 21 ms. Found 0 JPA repository interfaces.
2022-05-19 17:55:42.414  INFO [,,] 14644 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=b6efebc2-bb64-3a73-b714-eba9624e96b9
2022-05-19 17:55:45.856  INFO [,,] 14644 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-05-19 17:55:45.891  INFO [,,] 14644 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 17:55:45.894  INFO [,,] 14644 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 17:55:46.427  INFO [,,] 14644 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 17:55:46.428  INFO [,,] 14644 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 11260 ms
2022-05-19 17:55:46.795  INFO [,,] 14644 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 17:55:47.518  INFO [,,] 14644 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 17:55:47.550  INFO [,,] 14644 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:7c9b32b6-cfef-41c6-ae1b-61a014a29f69'
2022-05-19 17:55:50.021  INFO [,,] 14644 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 17:55:50.481  INFO [,,] 14644 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 17:55:51.197  INFO [,,] 14644 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 17:55:51.761  INFO [,,] 14644 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 17:55:52.539  INFO [,,] 14644 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 17:55:52.582  INFO [,,] 14644 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 17:55:52.883  WARN [,,] 14644 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 17:55:53.693  WARN [,,] 14644 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 17:56:00.216  INFO [,,] 14644 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-05-19 17:56:00.626  INFO [,,] 14644 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 17:56:00.737  INFO [,,] 14644 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 17:56:00.826  INFO [,,] 14644 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 17:56:01.608  INFO [,,] 14644 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 29.393 seconds (JVM running for 32.415)
2022-05-19 17:57:29.811  INFO [,,] 14644 --- [http-nio-9085-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 17:57:29.815  INFO [,,] 14644 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 17:57:29.815  INFO [,,] 14644 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 0 ms
2022-05-19 18:05:10.604  INFO [,81a5785831124a8e,81a5785831124a8e] 14644 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : STARTED - doLogin
2022-05-19 18:05:14.036  INFO [,81a5785831124a8e,81a5785831124a8e] 14644 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : END - doLogin
2022-05-19 18:05:15.627  INFO [,822fa38e5aea1822,822fa38e5aea1822] 14644 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : STARTED - allDetail
2022-05-19 18:05:20.175  INFO [,822fa38e5aea1822,822fa38e5aea1822] 14644 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : END - allDetail
2022-05-19 18:47:58.261  INFO [,b50052cbcbfed48d,b50052cbcbfed48d] 14644 --- [http-nio-9085-exec-8] c.c.controller.PensionController         : STARTED - allDetail
2022-05-19 18:47:58.542  INFO [,b50052cbcbfed48d,b50052cbcbfed48d] 14644 --- [http-nio-9085-exec-8] c.c.controller.PensionController         : END - allDetail
2022-05-19 18:50:19.518  INFO [,c478f9963ab71341,c478f9963ab71341] 14644 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - allDetail
2022-05-19 18:50:19.601  INFO [,c478f9963ab71341,c478f9963ab71341] 14644 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : END - allDetail
2022-05-19 18:50:28.422  INFO [,0836b37278bf594e,0836b37278bf594e] 14644 --- [http-nio-9085-exec-4] c.c.controller.PensionController         : STARTED - doLogin
2022-05-19 18:50:28.602  INFO [,0836b37278bf594e,0836b37278bf594e] 14644 --- [http-nio-9085-exec-4] c.c.controller.PensionController         : END - doLogin
2022-05-19 18:50:29.162  INFO [,8b74fd7e2a3327c7,8b74fd7e2a3327c7] 14644 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : STARTED - allDetail
